policy,field_weight,runs,mean_final_length,median_final_length,mean_improvement_pct,mean_selected_per_pass,mean_rank_diff_top20,mean_seconds,mean_gap_pct,median_gap_pct,best_gap_pct,hit_rate
sm_field_batch,0.001,1,150976816.0,150976816.0,14.667744979839053,31.702,0.34034833299981043,14.620671272277832,6.035971056331228,6.035971056331228,6.035971056331228,
sm_field_batch,0.005,1,151134192.0,151134192.0,14.57879589929908,31.938,0.4432140106387495,14.682411432266235,6.146501384252312,6.146501384252312,6.146501384252312,
sm_improve_batch,0.0,1,151226464.0,151226464.0,14.526643667957675,32.0,0.011964690382081686,15.816259860992432,6.211307037070622,6.211307037070622,6.211307037070622,
sm_field_batch,0.0001,1,151897344.0,151897344.0,14.147461587127957,32.0,0.07171878696302937,16.4506893157959,6.682488071000171,6.682488071000171,6.682488071000171,
sm_field_batch,0.01,1,153416080.0,153416080.0,13.289070404336693,32.0,0.5947213762133281,16.36781144142151,7.749146189808349,7.749146189808349,7.749146189808349,
sm_field_batch,0.05,1,153556272.0,153556272.0,13.209833738650312,31.804,0.8445874398468924,14.691175937652588,7.847607630764483,7.847607630764483,7.847607630764483,
delta_batch,0.0,1,154175328.0,154175328.0,12.859942637067132,32.0,0.0,13.22434687614441,8.28239096927553,8.28239096927553,8.28239096927553,
